cost,diag,lam,N,pearson_pred,spearman_pred,p_spearman,spearman_man,spearman_euc
gradmag,False,0.5,60,-0.5867295658107632,-0.6326306313612658,5.8705490745780593e-08,-0.6352019494261251,-0.5908935906237037
gradmag,False,1.0,60,-0.5325962375763968,-0.6027951453398195,3.4607950057518e-07,-0.6352019494261251,-0.5908935906237037
gradmag,False,1.5,60,-0.49348086172224714,-0.5600563046462083,3.2739069400472753e-06,-0.6352019494261251,-0.5908935906237037
gradmag,False,2.0,60,-0.49421808958506286,-0.5679166451561077,2.217177495349895e-06,-0.6352019494261251,-0.5908935906237037
gradmag,True,0.5,60,-0.5650203641758742,-0.5876097563260709,7.979364861162814e-07,-0.6352019494261251,-0.5908935906237037
gradmag,True,1.0,60,-0.5147391046875501,-0.5674095264135336,2.274325721514953e-06,-0.6352019494261251,-0.5908935906237037
gradmag,True,1.5,60,-0.4702866727580606,-0.5382783719789956,9.164824886323482e-06,-0.6352019494261251,-0.5908935906237037
gradmag,True,2.0,60,-0.4677436146194145,-0.5807636533013197,1.1469970370521784e-06,-0.6352019494261251,-0.5908935906237037
phi,False,0.5,201,-0.2564672910617805,-0.32467742495695023,2.571084502326464e-06,-0.26044952502384294,-0.2148546367890166
phi,False,1.0,201,-0.12148181914587886,-0.1141752791633781,0.10654902464596179,-0.26044952502384294,-0.2148546367890166
phi,False,1.5,201,-0.08231853690225309,-0.030004141092152277,0.6724234385461408,-0.26044952502384294,-0.2148546367890166
phi,False,2.0,201,-0.07856192584450167,-0.017333113737076435,0.8070565441127596,-0.26044952502384294,-0.2148546367890166
phi,True,0.5,201,-0.22954383835110473,-0.29271707064456753,2.47758241317775e-05,-0.26044952502384294,-0.2148546367890166
phi,True,1.0,201,-0.12976911789374185,-0.12332719278893875,0.08111993026734114,-0.26044952502384294,-0.2148546367890166
phi,True,1.5,201,-0.08525806738225955,-0.019885210500581996,0.7793310140938783,-0.26044952502384294,-0.2148546367890166
phi,True,2.0,201,-0.0765563053621077,-0.005658675732291877,0.9364552890591289,-0.26044952502384294,-0.2148546367890166
